Calc. Date= 05-04-2023. Time= 14:48:02
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Ca     040.00  600000keV    11764705eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 4.4696E+05  8.4888E+08 -2.1212E+06  2.7168E+06  1.9823E-01  6.3150E+00
0000001 4.3519E+05  9.0877E+08 -2.4326E+06  2.7919E+06  2.0135E-01  6.1447E+01
0000001 4.2341E+05  9.6755E+08 -2.7186E+06  2.8646E+06  2.0460E-01  4.7701E+00
0000001 4.1162E+05  1.0241E+09 -2.9539E+06  2.8599E+06  2.0797E-01  1.0746E+01
0000001 3.9981E+05  1.0806E+09 -3.1778E+06  2.8644E+06  2.1146E-01  3.2207E+01
0000001 3.8811E+05  1.1370E+09 -3.3881E+06  2.8378E+06  2.1507E-01  3.1634E+00
0000001 3.7643E+05  1.1891E+09 -3.4719E+06  2.8941E+06  2.1881E-01  6.1627E+00
0000001 3.6451E+05  1.2432E+09 -3.5661E+06  2.9469E+06  2.2280E-01  4.3614E+01
0000001 3.5284E+05  1.2950E+09 -3.6821E+06  2.9274E+06  2.2686E-01  2.9403E+00
0000001 3.4117E+05  1.3477E+09 -3.7838E+06  2.9158E+06  2.3112E-01  5.8205E+02
0000001 3.2930E+05  1.3992E+09 -4.0646E+06  2.8648E+06  2.3565E-01  4.6296E+00
0000001 3.1760E+05  1.4484E+09 -4.4206E+06  2.8034E+06  2.4034E-01  1.6232E+01
0000001 3.0577E+05  1.4964E+09 -4.7511E+06  2.7059E+06  2.4531E-01  4.8174E+00
0000001 2.9401E+05  1.5441E+09 -5.0983E+06  2.5686E+06  2.5052E-01  8.0745E+00
0000001 2.8225E+05  1.5913E+09 -5.4498E+06  2.4726E+06  2.5602E-01  8.1753E+00
0000001 2.7036E+05  1.6372E+09 -5.8668E+06  2.3987E+06  2.6188E-01  3.9589E+01
0000001 2.5878E+05  1.6801E+09 -6.2739E+06  2.3500E+06  2.6793E-01  2.2298E+01
0000001 2.4688E+05  1.7242E+09 -6.6858E+06  2.3480E+06  2.7451E-01  4.8189E+02
0000001 2.3527E+05  1.7668E+09 -7.0759E+06  2.3666E+06  2.8132E-01  3.0506E+01
0000001 2.2349E+05  1.8080E+09 -7.4646E+06  2.3635E+06  2.8866E-01  1.3179E+02
0000001 2.1159E+05  1.8485E+09 -7.8140E+06  2.3940E+06  2.9656E-01  5.0132E+00
0000001 1.9988E+05  1.8875E+09 -8.0640E+06  2.5379E+06  3.0483E-01  2.4961E+01
0000001 1.8810E+05  1.9257E+09 -8.2584E+06  2.6822E+06  3.1368E-01  5.5016E+00
0000001 1.7634E+05  1.9623E+09 -8.4570E+06  2.8295E+06  3.2309E-01  2.1710E+01
0000001 1.6453E+05  1.9986E+09 -8.7640E+06  3.0239E+06  3.3313E-01  1.8428E+01
0000001 1.5294E+05  2.0332E+09 -9.0889E+06  3.2437E+06  3.4360E-01  3.1826E+01
0000001 1.4115E+05  2.0677E+09 -9.3274E+06  3.4741E+06  3.5484E-01  1.4958E+01
0000001 1.2925E+05  2.1015E+09 -9.3788E+06  3.7634E+06  3.6675E-01  2.1618E+01
0000001 1.1760E+05  2.1329E+09 -9.4495E+06  4.0252E+06  3.7891E-01  8.8684E+00
0000001 1.0573E+05  2.1632E+09 -9.5944E+06  4.3141E+06  3.9158E-01  6.1296E+00
