Calc. Date= 05-04-2023. Time= 15:04:08
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Sr     080.00  1200000keV    23529411eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 1.2000E+06  0.0000E+00  0.0000E+00  0.0000E+00  5.1093E-01  0.0000E+00
0000001 1.1762E+06  4.6652E+07  8.4143E+03  9.0200E+03  5.1663E-01  1.1619E+01
0000001 1.1528E+06  9.1245E+07  1.3688E+04  2.1600E+04  5.2233E-01  7.6486E+01
0000001 1.1293E+06  1.3525E+08  1.0087E+05 -5.2894E+04  5.2816E-01  6.2359E+00
0000001 1.1057E+06  1.7927E+08  1.9124E+05 -1.0753E+05  5.3412E-01  6.3303E+00
0000001 1.0823E+06  2.2269E+08  2.8276E+05 -1.6251E+05  5.4013E-01  9.8353E+00
0000001 1.0588E+06  2.6610E+08  3.7003E+05 -2.4145E+05  5.4630E-01  1.1426E+01
0000001 1.0351E+06  3.0888E+08  4.5185E+05 -2.9682E+05  5.5262E-01  7.0317E+00
0000001 1.0117E+06  3.5047E+08  5.1122E+05 -3.5326E+05  5.5899E-01  8.3406E+00
0000001 9.8815E+05  3.9314E+08  5.5343E+05 -4.0895E+05  5.6551E-01  6.6744E+01
0000001 9.6457E+05  4.3460E+08  5.5384E+05 -4.4716E+05  5.7218E-01  5.8286E+00
0000001 9.4100E+05  4.7542E+08  5.6316E+05 -4.8787E+05  5.7898E-01  2.0317E+02
0000001 9.1746E+05  5.1612E+08  6.0058E+05 -5.2212E+05  5.8591E-01  1.2958E+01
