Calc. Date= 04-04-2023. Time= 17:32:29
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Ca     040.00  800000keV    1000000eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 7.4795E+05  3.7588E+08 -9.7441E+05 -7.7300E+05  1.4184E-01  1.1294E+01
0000001 7.4696E+05  3.8272E+08 -1.0043E+06 -7.9423E+05  1.4198E-01  1.5580E+02
0000001 7.4580E+05  3.9126E+08 -1.0385E+06 -8.2117E+05  1.4214E-01  6.0369E+00
0000001 7.4494E+05  3.9809E+08 -1.0651E+06 -8.4184E+05  1.4225E-01  4.1764E+00
0000001 7.4396E+05  4.0491E+08 -1.0920E+06 -8.6337E+05  1.4239E-01  4.0600E+00
0000001 7.4280E+05  4.1342E+08 -1.1247E+06 -8.9039E+05  1.4255E-01  1.8104E+01
0000001 7.4190E+05  4.2023E+08 -1.1549E+06 -9.1277E+05  1.4267E-01  1.1203E+01
0000001 7.4091E+05  4.2703E+08 -1.1894E+06 -9.3780E+05  1.4280E-01  6.0101E+00
0000001 7.3993E+05  4.3382E+08 -1.2245E+06 -9.6395E+05  1.4294E-01  8.4050E+00
0000001 7.3891E+05  4.4061E+08 -1.2567E+06 -9.8656E+05  1.4308E-01  2.0857E+02
0000001 7.3782E+05  4.4908E+08 -1.2919E+06 -1.0079E+06  1.4322E-01  5.8477E+00
0000001 7.3684E+05  4.5585E+08 -1.3201E+06 -1.0247E+06  1.4336E-01  3.8152E+00
0000001 7.3589E+05  4.6262E+08 -1.3486E+06 -1.0416E+06  1.4349E-01  4.9449E+00
0000001 7.3494E+05  4.6938E+08 -1.3783E+06 -1.0589E+06  1.4362E-01  4.7525E+01
0000001 7.3395E+05  4.7613E+08 -1.4090E+06 -1.0760E+06  1.4376E-01  1.0130E+01
0000001 7.3296E+05  4.8288E+08 -1.4388E+06 -1.0924E+06  1.4390E-01  4.2926E+00
0000001 7.3199E+05  4.8962E+08 -1.4687E+06 -1.1081E+06  1.4404E-01  9.5147E+00
0000001 7.3078E+05  4.9803E+08 -1.5053E+06 -1.1277E+06  1.4421E-01  4.6805E+01
0000001 7.2999E+05  5.0308E+08 -1.5264E+06 -1.1404E+06  1.4432E-01  3.6869E+00
0000001 7.2878E+05  5.1148E+08 -1.5609E+06 -1.1619E+06  1.4449E-01  2.4943E+02
0000001 7.2779E+05  5.1819E+08 -1.5870E+06 -1.1815E+06  1.4463E-01  2.7993E+00
0000001 7.2693E+05  5.2489E+08 -1.6124E+06 -1.2019E+06  1.4475E-01  9.2810E+00
0000001 7.2597E+05  5.3159E+08 -1.6360E+06 -1.2214E+06  1.4488E-01  1.2768E+01
0000001 7.2500E+05  5.3829E+08 -1.6570E+06 -1.2407E+06  1.4502E-01  2.6018E+01
0000001 7.2400E+05  5.4497E+08 -1.6767E+06 -1.2595E+06  1.4516E-01  8.9334E+00
0000001 7.2280E+05  5.5332E+08 -1.7008E+06 -1.2838E+06  1.4533E-01  1.2658E+01
0000001 7.2187E+05  5.6000E+08 -1.7206E+06 -1.3034E+06  1.4546E-01  4.2597E+00
0000001 7.2079E+05  5.6833E+08 -1.7452E+06 -1.3272E+06  1.4561E-01  5.2470E+00
0000001 7.1981E+05  5.7499E+08 -1.7638E+06 -1.3459E+06  1.4575E-01  9.0402E+00
0000001 7.1874E+05  5.8164E+08 -1.7813E+06 -1.3643E+06  1.4591E-01  1.1421E+01
0000001 7.1797E+05  5.8662E+08 -1.7941E+06 -1.3783E+06  1.4602E-01  1.2749E+01
0000001 7.1675E+05  5.9492E+08 -1.8180E+06 -1.4024E+06  1.4619E-01  1.1363E+02
0000001 7.1580E+05  6.0156E+08 -1.8407E+06 -1.4224E+06  1.4633E-01  3.3919E+01
0000001 7.1488E+05  6.0818E+08 -1.8637E+06 -1.4425E+06  1.4646E-01  4.9160E+00
0000001 7.1392E+05  6.1480E+08 -1.8866E+06 -1.4620E+06  1.4660E-01  6.2548E+00
0000001 7.1287E+05  6.2141E+08 -1.9095E+06 -1.4806E+06  1.4675E-01  4.0782E+00
0000001 7.1186E+05  6.2802E+08 -1.9321E+06 -1.4991E+06  1.4690E-01  3.8297E+00
0000001 7.1097E+05  6.3462E+08 -1.9547E+06 -1.5169E+06  1.4703E-01  5.8912E+00
0000001 7.0998E+05  6.4121E+08 -1.9771E+06 -1.5340E+06  1.4717E-01  1.7684E+01
0000001 7.0879E+05  6.4944E+08 -2.0028E+06 -1.5543E+06  1.4734E-01  6.0625E+00
0000001 7.0792E+05  6.5602E+08 -2.0229E+06 -1.5702E+06  1.4747E-01  3.0371E+00
0000001 7.0697E+05  6.6260E+08 -2.0427E+06 -1.5859E+06  1.4761E-01  6.5099E+00
0000001 7.0598E+05  6.6916E+08 -2.0630E+06 -1.6014E+06  1.4775E-01  1.1687E+01
0000001 7.0492E+05  6.7572E+08 -2.0834E+06 -1.6174E+06  1.4791E-01  4.5542E+00
0000001 7.0400E+05  6.8228E+08 -2.1035E+06 -1.6343E+06  1.4805E-01  1.1329E+01
0000001 7.0298E+05  6.8882E+08 -2.1242E+06 -1.6509E+06  1.4820E-01  1.1980E+01
0000001 7.0191E+05  6.9536E+08 -2.1426E+06 -1.6672E+06  1.4836E-01  1.5085E+01
0000001 7.0088E+05  7.0189E+08 -2.1594E+06 -1.6832E+06  1.4851E-01  9.1989E+00
0000001 6.9992E+05  7.0842E+08 -2.1761E+06 -1.6987E+06  1.4865E-01  1.8933E+01
0000001 6.9880E+05  7.1657E+08 -2.1989E+06 -1.7189E+06  1.4882E-01  1.3909E+01
0000001 6.9782E+05  7.2308E+08 -2.2176E+06 -1.7350E+06  1.4897E-01  2.3612E+01
0000001 6.9682E+05  7.2959E+08 -2.2364E+06 -1.7525E+06  1.4911E-01  4.2725E+00
0000001 6.9592E+05  7.3608E+08 -2.2546E+06 -1.7696E+06  1.4925E-01  1.1998E+01
0000001 6.9495E+05  7.4258E+08 -2.2730E+06 -1.7873E+06  1.4939E-01  9.7571E+00
0000001 6.9391E+05  7.4906E+08 -2.2912E+06 -1.8051E+06  1.4955E-01  1.2647E+01
0000001 6.9279E+05  7.5716E+08 -2.3139E+06 -1.8261E+06  1.4971E-01  4.1053E+00
0000001 6.9179E+05  7.6363E+08 -2.3361E+06 -1.8444E+06  1.4986E-01  5.7551E+00
0000001 6.9099E+05  7.6848E+08 -2.3542E+06 -1.8586E+06  1.4999E-01  5.1741E+00
0000001 6.8983E+05  7.7655E+08 -2.3843E+06 -1.8812E+06  1.5016E-01  5.6666E+00
0000001 6.8898E+05  7.8301E+08 -2.4085E+06 -1.8985E+06  1.5029E-01  1.2350E+02
0000001 6.8798E+05  7.8945E+08 -2.4322E+06 -1.9140E+06  1.5045E-01  1.2761E+01
0000001 6.8697E+05  7.9589E+08 -2.4560E+06 -1.9291E+06  1.5060E-01  5.5046E+00
0000001 6.8572E+05  8.0393E+08 -2.4861E+06 -1.9492E+06  1.5079E-01  1.1540E+01
0000001 6.8489E+05  8.0875E+08 -2.5045E+06 -1.9614E+06  1.5092E-01  6.0420E+00
0000001 6.8380E+05  8.1517E+08 -2.5282E+06 -1.9780E+06  1.5108E-01  4.2172E+00
0000001 6.8287E+05  8.2158E+08 -2.5519E+06 -1.9952E+06  1.5123E-01  3.4318E+00
0000001 6.8196E+05  8.2798E+08 -2.5754E+06 -2.0115E+06  1.5137E-01  2.0268E+01
0000001 6.8092E+05  8.3438E+08 -2.5994E+06 -2.0280E+06  1.5152E-01  5.1568E+00
0000001 6.7975E+05  8.4237E+08 -2.6327E+06 -2.0472E+06  1.5170E-01  4.8787E+00
0000001 6.7871E+05  8.4875E+08 -2.6604E+06 -2.0600E+06  1.5186E-01  3.3329E+00
0000001 6.7773E+05  8.5513E+08 -2.6878E+06 -2.0681E+06  1.5201E-01  3.0871E+00
0000001 6.7699E+05  8.5991E+08 -2.7087E+06 -2.0709E+06  1.5213E-01  3.9601E+00
0000001 6.7584E+05  8.6786E+08 -2.7450E+06 -2.0764E+06  1.5231E-01  1.4017E+01
0000001 6.7478E+05  8.7422E+08 -2.7733E+06 -2.0810E+06  1.5248E-01  4.3605E+00
0000001 6.7381E+05  8.8057E+08 -2.8019E+06 -2.0854E+06  1.5263E-01  1.0352E+01
0000001 6.7283E+05  8.8691E+08 -2.8300E+06 -2.0899E+06  1.5278E-01  1.4683E+01
0000001 6.7185E+05  8.9325E+08 -2.8569E+06 -2.0939E+06  1.5294E-01  1.1229E+01
0000001 6.7091E+05  8.9958E+08 -2.8830E+06 -2.0978E+06  1.5308E-01  2.1087E+01
0000001 6.6990E+05  9.0590E+08 -2.9067E+06 -2.1020E+06  1.5324E-01  7.3193E+00
0000001 6.6885E+05  9.1222E+08 -2.9309E+06 -2.1049E+06  1.5341E-01  2.0045E+01
0000001 6.6799E+05  9.1853E+08 -2.9559E+06 -2.1086E+06  1.5354E-01  6.6957E+00
0000001 6.6692E+05  9.2641E+08 -2.9868E+06 -2.1135E+06  1.5371E-01  5.0813E+00
0000001 6.6598E+05  9.3271E+08 -3.0108E+06 -2.1176E+06  1.5386E-01  1.0606E+01
0000001 6.6473E+05  9.4057E+08 -3.0410E+06 -2.1205E+06  1.5406E-01  5.2241E+00
0000001 6.6376E+05  9.4685E+08 -3.0652E+06 -2.1226E+06  1.5421E-01  5.2669E+00
0000001 6.6281E+05  9.5313E+08 -3.0892E+06 -2.1248E+06  1.5436E-01  6.1907E+00
0000001 6.6184E+05  9.5940E+08 -3.1133E+06 -2.1277E+06  1.5452E-01  8.5001E+00
0000001 6.6079E+05  9.6566E+08 -3.1377E+06 -2.1308E+06  1.5469E-01  5.8266E+00
0000001 6.5989E+05  9.7191E+08 -3.1625E+06 -2.1339E+06  1.5483E-01  8.1639E+00
0000001 6.5891E+05  9.7816E+08 -3.1868E+06 -2.1377E+06  1.5499E-01  1.6816E+01
