Calc. Date= 05-03-2023. Time= 10:15:49
============================== SRIM-2013.00 ==============================
 =====================================================================
 =                   Ion Energy vs Position File                     =
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth. Y.Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle. this tilt is in Y direction)=
 =   Shown are: Ion Number. Energy (keV). X. Y. Z Position           =
 ==================  CALCULATION   DATA  =============================
  Ion Data: Name. Mass.   Energy . Energy Interval
           Sr     080.00  1200000keV    23529411eV
 =====================================================================
Ion       Energy     Depth (X)     Y           Z       Electronic   Energy Lost to
Number    (keV)    (Angstrom)  (Angstrom)  (Angstrom)  Stop.(eV/A)  Last Recoil(eV)
------- ----------- ---------- ----------- ----------- -----------  ---------------
0000001 1.2000E+06  0.0000E+00  0.0000E+00  0.0000E+00  5.1093E-01  0.0000E+00
0000001 1.1762E+06  4.5569E+07 -3.1315E+02 -4.7772E+03  5.1663E-01  5.1189E+01
0000001 1.1528E+06  9.0163E+07 -1.2375E+04  2.8061E+02  5.2234E-01  9.1828E+00
0000001 1.1292E+06  1.3478E+08 -1.3648E+04 -1.7641E+04  5.2819E-01  6.9187E+00
0000001 1.1056E+06  1.7819E+08 -2.7567E+04 -4.9772E+04  5.3415E-01  3.8696E+01
0000001 1.0821E+06  2.2221E+08 -6.5276E+04 -1.0978E+05  5.4019E-01  4.9415E+00
0000001 1.0587E+06  2.6502E+08 -9.2155E+04 -1.8402E+05  5.4632E-01  3.7705E+01
0000001 1.0352E+06  3.0722E+08 -1.3155E+05 -2.5763E+05  5.5258E-01  5.5232E+00
0000001 1.0116E+06  3.4996E+08 -1.6545E+05 -3.2302E+05  5.5900E-01  1.9374E+01
0000001 9.8813E+05  3.9093E+08 -2.0321E+05 -3.9943E+05  5.6552E-01  3.8066E+01
0000001 9.6453E+05  4.3239E+08 -2.4564E+05 -4.7226E+05  5.7219E-01  8.2145E+01
0000001 9.4103E+05  4.7265E+08 -2.6940E+05 -5.5292E+05  5.7897E-01  1.4750E+01
0000001 9.1758E+05  5.1281E+08 -2.8641E+05 -6.3657E+05  5.8588E-01  6.3756E+00
